topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,-0.51,-0.69,-0.57
1,-0.36,-0.26,-0.38
2,-0.55,-0.43,-0.7
3,-0.14,-0.26,-0.67
4,-0.6,-0.82,-0.82
5,-0.37,-0.33,-0.68
6,-0.37,-0.46,-0.61
7,-0.2,-0.35,-0.36
8,-0.22,-0.28,0.07
9,-0.72,-0.92,-0.92
