topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,57.1,15.9,27.0
1,66.5,14.5,19.1
2,57.3,19.3,23.3
3,50.5,22.9,26.6
4,63.6,13.6,22.7
5,67.0,14.2,18.8
6,65.2,25.8,9.1
7,67.1,16.4,16.4
8,55.2,34.5,10.3
9,83.1,12.0,4.8
