topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,185,79,26
1,181,53,13
2,212,63,38
3,84,36,10
4,86,25,1
5,75,33,8
6,70,14,4
7,41,12,7
8,80,11,8
9,87,35,3
