topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,19.0,9.0,3.0
1,8.0,9.0,8.0
2,12.0,9.0,3.0
3,9.0,4.0,0.0
