topic,CON,LAB,OTHER,SNP
0,53.9,15.9,24.6,5.6
1,59.8,21.1,5.2,13.8
2,40.1,6.1,2.7,51.1
3,64.0,17.8,8.5,9.8
4,49.6,28.5,12.8,9.0
5,45.6,38.5,8.5,7.4
6,69.7,19.3,4.1,7.0
7,57.1,27.6,7.7,7.6
8,53.2,25.2,4.9,16.7
9,77.4,13.0,5.7,3.9
