topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,-0.33,-0.47,-0.3
1,-0.37,-0.36,-0.62
2,-0.43,-0.22,-0.57
3,-0.2,-0.11,-0.63
4,-0.7,-0.63,-0.26
5,0.21,-0.0,0.12
6,-0.5,-0.41,-0.41
7,-0.4,-0.62,-0.49
8,-0.34,-0.46,-0.4
9,-0.21,-0.22,-0.25
