topic,Fidesz-KDNP,OTHER,Opposition
0,41.2,42.6,16.1
1,59.5,24.5,16.0
2,44.4,41.2,14.5
3,46.8,34.1,19.0
4,73.4,20.9,5.7
5,29.8,38.6,31.6
6,60.9,35.6,3.4
7,68.2,28.2,3.5
8,54.1,21.6,24.3
9,53.8,26.2,20.0
