topic,OTHER,SD,SDS,keywords
0,37.2,34.0,36.0,"['otrok', 'skupnosti', 'bo', 'zakona', 'tem', 'družine', 'istospolnih', 'hvala', 'danes', 'bomo']"
1,20.5,14.6,20.5,"['ki', 'bo', 'tem', 'slovenija', 'evropske', 'vse', 'ampak', 'danes', 'bomo', 'unije']"
2,10.6,14.6,13.0,"['ki', 'tem', 'kot', 'bo', 'zakon', 'jaz', 'potem', 'bil', 'danes', 'seveda']"
3,11.1,4.9,10.0,"['otrok', 'skupnosti', 'istospolnih', 'družine', 'so', 'ta', 'zakonske', 'zakona', 'danes', 'hvala']"
4,12.6,21.5,16.5,"['so', 'ki', 'sem', 'tem', 'ministrica', 'danes', 'delo', 'bo', 'samo', 'vse']"
5,8.0,10.4,4.0,"['moških', 'možnosti', 'enakosti', 'ženske', 'resolucije', 'delo', 'socialne', 'hvala', 'življenja', 'zakonodajno']"
