topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,88,48,38
1,125,47,32
2,73,22,43
3,81,37,9
4,85,15,28
5,64,12,18
6,99,19,26
7,34,11,16
8,42,30,6
9,71,11,8
