topic,OTHER,SD,SDS
0,-0.44,-0.47,-0.52
1,-0.09,-0.24,-0.31
2,-0.14,-0.13,-0.17
3,0.01,-0.05,-0.17
4,-0.16,-0.1,-0.19
5,-0.21,-0.09,-0.28
6,-0.17,-0.15,-0.16
7,0.01,-0.06,-0.13
8,-0.11,0.07,-0.29
9,0.0,-0.12,-0.01
