topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,61.3,29.0,9.7
1,32.0,36.0,32.0
2,50.0,37.5,12.5
3,69.2,30.8,0.0
