topic,Fidesz-KDNP,OTHER,Opposition
0,101,97,33
1,86,188,90
2,66,59,18
3,145,21,9
4,70,33,28
5,33,64,38
6,68,93,45
7,78,13,11
8,21,54,12
9,41,31,4
