topic,OTHER,SD,SDS
0,55.1,13.5,31.5
1,65.6,13.6,20.8
2,56.4,7.0,36.6
3,65.1,17.4,17.4
4,61.2,11.3,27.5
5,71.5,10.4,18.1
6,50.8,10.5,38.7
7,64.6,17.2,18.2
8,55.6,16.7,27.8
9,71.1,9.9,19.0
