topic,CON,LAB,OTHER,SNP
0,60.0,25.3,4.6,10.2
1,63.2,25.4,3.5,7.9
2,55.1,32.8,6.4,5.7
3,71.5,17.9,3.0,7.7
4,51.2,32.4,3.8,12.7
5,66.8,22.7,3.7,6.8
6,58.4,37.0,1.7,2.9
7,56.0,27.6,4.2,12.3
8,46.3,33.0,6.0,14.7
9,45.2,45.8,5.1,3.9
