topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,193,62,43
1,58,25,68
2,61,40,2
3,69,42,8
4,40,10,8
5,68,53,4
6,47,13,15
7,57,28,5
8,38,23,23
9,27,12,7
