topic,Fidesz-KDNP,OTHER,Opposition
0,-0.32,-0.5,-0.51
1,-0.01,-0.4,-0.11
2,-0.43,-0.78,-0.78
3,0.26,-0.1,0.35
4,-0.4,-0.55,-0.55
5,-0.02,-0.01,0.1
6,-0.22,-0.68,-0.7
7,0.17,-0.3,-0.53
8,-0.22,-0.41,-0.1
