topic,OTHER,SD,SDS
0,-0.38,-0.21,-0.47
1,-0.37,-0.32,-0.31
2,-0.42,-0.46,-0.63
3,-0.26,-0.45,-0.37
4,-0.62,-0.57,-0.65
5,0.08,0.08,0.28
