topic,Fidesz-KDNP,OTHER,Opposition
0,-0.37,-0.47,-0.47
1,0.03,-0.33,-0.32
2,-0.35,-0.6,-0.48
3,-0.11,-0.42,-0.43
4,-0.33,-0.32,-0.46
5,-0.33,-0.66,-0.61
6,0.01,-0.34,-0.41
7,-0.14,-0.44,-0.51
8,0.34,0.31,0.44
9,-0.28,-0.57,-0.48
