topic,Fidesz-frakció,JOBBIK-frakció,OTHER
0,-0.03,-0.59,-0.37
1,-0.7,-0.83,-0.48
2,-0.43,0.0,-0.57
3,0.0,-0.87,-0.75
4,-0.8,-1.0,-0.53
