topic,CON,LAB,OTHER,SNP
0,1163,328,520,120
1,800,127,58,961
2,825,217,103,123
3,552,85,59,78
4,402,243,105,54
5,434,123,38,88
6,445,280,46,90
7,474,108,18,50
8,531,134,61,24
9,324,149,30,43
