topic,CON,LAB,OTHER,SNP
0,854,360,65,145
1,640,257,35,80
2,650,387,75,67
3,436,109,18,47
4,283,179,21,70
5,400,136,22,41
6,341,216,10,17
7,256,126,19,56
8,240,171,31,76
9,151,153,17,13
