topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,-0.3,-0.1,-0.38
1,0.01,-0.0,0.0
2,-0.35,0.17,-0.69
3,-0.45,-0.96,-0.78
4,-0.08,-0.49,-0.34
5,-0.46,0.26,0.12
6,0.05,-0.09,-0.12
