topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,-0.25,-0.02,-0.45
1,-0.12,-0.27,-0.53
2,0.23,0.46,0.39
3,-0.01,0.01,-0.05
4,-0.71,-0.61,-0.53
5,0.03,-0.09,0.36
6,-0.12,-0.33,-0.48
7,-0.54,-0.4,-0.1
8,-0.44,-0.41,-0.68
9,-0.02,0.02,-0.07
