topic,Fidesz-KDNP,OTHER,Opposition,keywords
0,60.4,26.4,25.0,"['magyarország', 'európai', 'taps', 'ház', 'kormánypártok', 'elnök', 'nők', 'migráció', 'törvény', 'társadalmi']"
1,20.8,37.7,37.5,"['magyar', 'erőszak', 'fidesz', 'józsef', 'kínai', 'politikai', 'dr', 'családon', 'nők', 'tudják']"
2,8.3,28.3,25.0,"['fog', 'magyar', '40', 'nyugdíjba', 'tudják', 'alaptörvény', 'tisztelt', 'tudományos', 'országgyűlési', 'milliárd']"
3,10.4,7.5,12.5,"['német', 'homoszexuális', 'pedofília', 'kijelentések', 'kereszténység', 'liberális', 'élet', 'hölgyeim', 'jogainak', 'melegfelvonulás']"
