topic,OTHER,SD,SDS
0,-0.35,-0.3,-0.4
1,-0.55,-0.51,-0.58
2,-0.41,-0.55,-0.29
3,-0.1,-0.2,-0.28
4,-0.27,-0.26,-0.38
5,-0.17,-0.19,-0.23
6,-0.21,-0.19,-0.25
7,-0.31,-0.35,-0.45
8,-0.34,-0.19,-0.43
9,-0.19,-0.19,-0.25
