topic,CON,LAB,OTHER,SNP
0,471,243,35,96
1,225,146,11,79
2,214,120,15,54
3,125,106,11,25
4,146,81,17,29
5,141,85,10,42
6,97,93,9,45
7,100,81,10,11
8,53,49,6,15
9,57,48,22,20
