topic,Fidesz-KDNP,OTHER,Opposition
0,43.7,42.0,14.3
1,23.6,51.6,24.7
2,46.2,41.3,12.6
3,82.9,12.0,5.1
4,53.4,25.2,21.4
5,24.4,47.4,28.1
6,33.0,45.1,21.8
7,76.5,12.7,10.8
8,24.1,62.1,13.8
9,53.9,40.8,5.3
