topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР,keywords
0,29.2,12.9,14.3,"['законопроект', 'україни', 'питання', 'голосів', 'порядок', 'кримінально', 'видобувних', 'змін', 'освіти', 'скажу']"
1,16.7,19.4,0.0,"['жінки', 'лікарів', 'насильству', 'питаннями', 'європейської', 'кухні', 'реєструється', 'жаль', 'повага', 'демократія']"
2,12.5,16.1,7.1,"['україни', 'місцевих', 'кодекс', 'реєстрації', 'кількості', 'конвенції', 'комітетів', 'президента', 'свобода', 'виборах']"
3,20.8,3.2,7.1,"['стереотипи', 'підтримати', 'гендер', 'дітей', 'принижувати', 'слово', 'стамбульській', 'мы', 'насильству', 'законі']"
4,6.2,25.8,21.4,"['25', '34', 'гендер', 'бюджеті', '256', 'втрачають', 'стенограму', 'чинності', 'економічної', 'віці']"
5,6.2,16.1,14.3,"['одиноких', 'батьків', 'проходити', 'рівності', 'військової', 'україни', 'законопроекту', 'відпустки', 'громадянина', 'гендерної']"
6,8.3,6.5,35.7,"['збільшення', 'національної', 'слухання', 'україни', 'голосування', 'комітету', 'чоловіків', 'запитання', 'виключити', 'вугілля']"
