topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР
0,66.6,26.5,6.9
1,66.8,25.9,7.3
2,60.2,19.1,20.7
3,67.8,22.6,9.6
4,63.1,19.8,17.1
5,59.9,23.4,16.8
6,53.7,37.7,8.6
7,75.0,12.8,12.2
8,73.0,15.7,11.3
9,64.1,30.5,5.3
