topic,OTHER,SD,SDS
0,59.7,12.1,28.2
1,61.1,13.4,25.6
2,65.8,11.9,22.3
3,59.5,13.3,27.2
4,63.7,11.1,25.3
5,70.8,12.0,17.2
6,71.0,10.3,18.7
7,65.9,12.3,21.7
8,68.4,9.1,22.5
9,60.8,14.8,24.4
