topic,OTHER,SD,SDS
0,-0.59,-0.58,-0.6
1,-0.45,-0.38,-0.48
2,-0.54,-0.38,-0.63
3,-0.24,-0.17,-0.19
4,-0.45,-0.5,-0.51
5,-0.45,-0.23,-0.42
6,-0.57,-0.54,-0.56
7,-0.12,-0.17,-0.06
8,-0.42,-0.58,-0.51
9,-0.07,0.05,-0.08
