topic,Fidesz-frakció,JOBBIK-frakció,OTHER
0,-0.11,-0.4,-0.38
1,-0.14,-0.33,-0.42
2,-0.31,-0.43,-0.45
3,0.05,-0.41,-0.28
4,0.12,-0.4,-0.42
5,-0.63,-0.6,-0.58
6,0.2,-0.29,-0.33
7,-0.54,-0.59,-0.69
8,0.2,-0.14,-0.38
9,-0.26,-0.45,-0.41
