topic,keywords,tc.Fidesz-KDNP,tc.Opposition,tc.OTHER,pf.Fidesz-KDNP,pf.Opposition,pf.OTHER,s.Fidesz-KDNP,s.Opposition,s.OTHER
0,"['gondolom', 'fontos', 'miniszter', 'elnök', 'alaptörvény', 'magyarországon', 'nemzeti', 'javaslat', 'tudom', 'ellenzéki']",26.6,15.4,58.0,13.4,29.5,32.3,-0.32,-0.52,-0.5
1,"['gazdasági', 'magyarországra', 'elnök', 'uniós', 'egyébként', 'bevándorlás', 'háború', 'országgyűlés', 'javaslat', 'emberek']",60.3,7.1,32.5,22.6,10.2,13.5,-0.07,-0.26,-0.38
2,"['magyarország', 'miniszterelnök', 'dr', 'emberek', 'viktor', 'uniós', 'háború', 'gondolom', 'gazdasági', 'soraiban']",27.4,17.1,55.6,9.5,22.7,21.5,-0.39,-0.74,-0.8
3,"['ház', 'taps', 'nemzeti', 'kormánypártok', 'magyarország', 'keresztény', 'háború', 'zrínyi', 'múzeum', 'soraiban']",64.9,4.1,31.1,14.3,3.4,7.6,0.28,0.35,-0.11
4,"['magyarország', 'biztonsági', 'katonai', 'gazdasági', 'megállapodás', 'nemzetiségi', 'európa', 'elnök', 'libanoni', 'terrorizmus']",64.1,16.7,19.2,14.9,14.8,5.0,-0.24,-0.25,-0.26
5,"['háború', 'béke', 'ukrajnába', 'kárpátaljai', 'viktor', 'szankciós', 'kőolaj', 'baloldal', 'szeretném', 'elnök']",58.2,7.3,34.5,9.5,4.5,6.3,-0.36,-0.33,-0.54
6,"['barátság', 'magyarok', 'európai', 'szovjet', 'nép', 'ház', 'háború', 'ezeréves', 'bizottsági', 'gondolom']",65.0,0.0,35.0,7.7,0.0,4.6,0.21,0.0,0.15
7,"['veszélyhelyzet', 'magyar', 'érettségi', 'államok', 'iszlám', 'emberek', 'tudjuk', 'megkéri', 'miniszter', 'katonai']",53.3,16.7,30.0,4.8,5.7,3.0,-0.26,0.01,-0.66
8,"['milliárd', 'jövő', 'költségvetésben', 'egyébként', 'kormányzat', '2019', 'államadósság', 'magyar', 'növekedés', 'válság']",28.9,21.1,50.0,3.3,9.1,6.3,0.1,-0.68,-0.54
